"","title","link","price","category","location","upload_time"
"65","  Egyedi gyerekpad - rajzoló/játszó és étkező asztal Eladó!   ","https://www.jofogas.hu/budapest/Egyedi_gyerekpad___rajzolo_jatszo_es_etkezo_asztal_Elado__112740500.htm","8 500","Asztal, szék, etetőszék","     Budapest  , XI. kerület      ","tegnap, 23:05"
"66","  Számítógép asztal   ","https://www.jofogas.hu/pest/Szamitogep_asztal_112740470.htm","5 000","Asztalok, székek","     Pest  , Dunakeszi      ","tegnap, 23:04"
"67","  Dohányzó asztal   ","https://www.jofogas.hu/pest/Dohanyzo_asztal_112740423.htm","10 000","Asztalok, székek","     Pest  , Érd      ","tegnap, 23:00"
"68","  Ikea kritter fehér fa asztal + fehérre festett fa gyerek szék 7000 Ft   ","https://www.jofogas.hu/szabolcs_szatmar_bereg/Ikea_kritter_feher_fa_asztal___feherre_festett_fa_gyerek_szek_7000_Ft_112740356.htm","7 000","Egyéb","     Szabolcs-Szatmár-Bereg  , Nyíregyháza      ","tegnap, 22:56"
"69","  Zöldség mintás asztal terítő, abrosz pamut vászon140*160 cm   ","https://www.jofogas.hu/pest/Zoldseg_mintas_asztal_terito__abrosz_pamut_vaszon140_160_cm_112739566.htm","1 500","Lakástextil","     Pest  , Dunakeszi      ","tegnap, 22:21"
"70","  Üveg lapos kis asztal   ","https://www.jofogas.hu/hajdu_bihar/Uveg_lapos_kis_asztal_112739322.htm","3 000","Asztalok, székek","     Hajdú-Bihar  , Debrecen      ","tegnap, 22:10"
"71","  IKEA Jokkmokk étkező asztal 4 székkel eladó   ","https://www.jofogas.hu/budapest/IKEA_Jokkmokk_etkezo_asztal_4_szekkel_elado_112738550.htm","28 000","Asztalok, székek","     Budapest  , XV. kerület      ","tegnap, 21:35"
"72","  Güde ültető asztal GHB80V   ","https://www.jofogas.hu/szabolcs_szatmar_bereg/Gude_ulteto_asztal_GHB80V_112743290.htm","12 000","Műszaki, elektronikai alkatrészek","     Szabolcs-Szatmár-Bereg  , Mátészalka      ","tegnap, 21:33"
"73","  Szalagfűrész alkatrész kerék asztal villanymotor kapcsolószekrény stb   ","https://www.jofogas.hu/bacs_kiskun/Szalagfuresz_alkatresz_kerek_asztal_villanymotor_kapcsoloszekreny_stb_112738473.htm","","Egyéb","     Bács-Kiskun  , Helvécia      ","tegnap, 21:31"
"74","  Kis asztal tükörrel   ","https://www.jofogas.hu/budapest/Kis_asztal_tukorrel_112738106.htm","20 000","Asztalok, székek","     Budapest  , VII. kerület      ","tegnap, 21:18"
"75","  Ikeás ágyra,fotelre tolható asztal   ","https://www.jofogas.hu/pest/Ikeas_agyra_fotelre_tolhato_asztal_112738071.htm","4 900","Asztalok, székek","     Pest  , Pécel      ","tegnap, 21:17"
